state,mp_name,total_works,works_with_sanction_data,total_sanctioned_amount,high_critical_count,avg_risk_score,max_risk_score,high_critical_rate_pct,small_sample_warning
Punjab,DR DHARAMVIRA GANDHI,31,4,530000.0,9,43.7497679823579,85.27289654369837,29.03,False
Uttarakhand,Ajay Bhatt,34,0,,8,39.92716369685313,52.379844059117886,23.53,False
Punjab,GURMEET SINGH MEET HAYER,37,19,3149434.0,7,23.43859919502885,83.55832266573569,18.92,False
Rajasthan,DAMODAR AGARWAL,28,4,1992229.0,6,29.568696558106545,68.81434500950387,21.43,False
Punjab,Smt Harsimrat Kaur Badal,70,42,11239211.0,6,17.042975883552753,82.30148570541915,8.57,False
Punjab,MALVINDER SINGH KANG,52,28,14862943.0,6,17.83916245853485,79.09926684510648,11.54,False
Punjab,DR. RAJ KUMAR CHABBEWAL,50,37,9298000.0,4,12.394739904573491,84.38457659335118,8.0,False
Madhya Pradesh,DR. RAJESH MISHRA,122,102,33745665.0,4,6.65342358343524,67.21420536095272,3.28,False
Haryana,SATPAL BRAHAMCHARI,15,3,1344000.0,4,41.60209961390868,93.51565227510766,26.67,True
Punjab,Shri Gurjeet Singh Aujla,9,2,1700000.0,3,34.808047894280875,80.14857054191397,33.33,True
Uttar Pradesh,UJJWAL RAMAN SINGH,3,0,,3,52.373486601928356,53.31471352651383,100.0,True
Rajasthan,Bhagirath Chaudhary,22,10,9849005.0,3,24.25504578668223,52.631987276465345,13.64,False
Rajasthan,SANJNA JATAV,94,83,38756341.1,2,4.589303097497304,82.86201947321464,2.13,False
Chandigarh,MANISH TEWARI,3,0,,2,38.6684252039774,50.84177043329842,66.67,True
Assam,RANJIT DUTTA,6,0,,2,34.07230691648241,50.64199542263082,33.33,True
Odisha,ANANTA NAYAK,7,0,,2,40.498633993339,50.44803910159432,28.57,True
Jammu And Kashmir,AGA SYED RUHULLAH MEHDI,11,0,,2,34.23898592582405,66.7991388339346,18.18,True
Andhra Pradesh,Dr Chandra Sekhar Pemmasani,16,0,,2,32.390099499592694,50.17650025214322,12.5,True
Nagaland,S SUPONGMEREN JAMIR,34,23,49000000.0,2,9.737442469132423,51.995810543465616,5.88,False
