work_id,state,constituency,mp_name,work_category,sanction_amount,work_status,analysis_mode,effectively_completed,risk_score,risk_category,n_signals_available,split_payment_flag,is_govt_body,any_is_anomaly_v2,any_is_anomaly_lof,cost_deviation_pct,utilization_pct_completed,recommendation_to_sanction_days,rule_expenditure_over_sanction,rule_extreme_delay,rule_vendor_concentration,known_false_positive
WS/MP620/2024-2025/133166,Karnataka,DHARWAD,Pralhad Venkatesh Joshi,Normal/Others,497185.0,Physical Inspection,Audit,True,0.0,Low,4,False,False,,,,100.0,1.0,False,False,False,False
WS/MP620/2025-2026/133167,Karnataka,DHARWAD,Pralhad Venkatesh Joshi,Trust and Society,500000.0,Sanction,Early-Warning,False,13.066666666666666,Low,3,False,False,,,,,437.0,False,True,False,False
WS/MP620/2024-2025/133190,Karnataka,DHARWAD,Pralhad Venkatesh Joshi,Trust and Society,450000.0,Sanction,Early-Warning,False,0.0,Low,3,False,False,,,,,77.0,False,False,False,False
WS/MP620/2025-2026/133191,Karnataka,DHARWAD,Pralhad Venkatesh Joshi,Normal/Others,1500000.0,Work partially Completed,Early-Warning,False,5.6,Low,3,False,False,,,,,325.0,False,True,False,False
WS/MP620/2024-2025/133301,Karnataka,DHARWAD,Pralhad Venkatesh Joshi,Normal/Others,398009.0,Physical Inspection,Audit,True,0.0,Low,4,False,False,,,,100.0,44.0,False,False,False,False
WS/MP620/2024-2025/133303,Karnataka,DHARWAD,Pralhad Venkatesh Joshi,Normal/Others,399104.0,Physical Inspection,Audit,True,0.0,Low,4,False,False,,,,100.0,16.0,False,False,False,False
WS/MP620/2024-2025/133304,Karnataka,DHARWAD,Pralhad Venkatesh Joshi,Normal/Others,396154.0,Physical Inspection,Audit,True,0.0,Low,4,False,False,,,,100.0,44.0,False,False,False,False
WS/MP620/2025-2026/133305,Karnataka,DHARWAD,Pralhad Venkatesh Joshi,Normal/Others,400000.0,Sanction,Early-Warning,False,5.866666666666667,Low,3,False,False,,,,,329.0,False,True,False,False
WS/MP620/2024-2025/133306,Karnataka,DHARWAD,Pralhad Venkatesh Joshi,Normal/Others,495627.0,Physical Inspection,Audit,True,0.0,Low,4,False,False,,,,100.0,248.0,False,False,False,False
WS/MP620/2024-2025/133307,Karnataka,DHARWAD,Pralhad Venkatesh Joshi,Normal/Others,398955.0,Physical Inspection,Audit,True,0.0,Low,4,False,False,,,,100.0,39.0,False,False,False,False
WS/MP620/2024-2025/133308,Karnataka,DHARWAD,Pralhad Venkatesh Joshi,Normal/Others,399304.0,Physical Inspection,Audit,True,0.0,Low,4,False,False,,,,100.0,39.0,False,False,False,False
WS/MP620/2024-2025/133309,Karnataka,DHARWAD,Pralhad Venkatesh Joshi,Normal/Others,495031.0,Physical Inspection,Audit,True,0.0,Low,4,False,False,,,,100.0,248.0,False,False,False,False
WS/MP620/2024-2025/133310,Karnataka,DHARWAD,Pralhad Venkatesh Joshi,Normal/Others,247583.0,Physical Inspection,Audit,True,0.0,Low,4,False,False,,,,100.0,44.0,False,False,False,False
WS/MP620/2024-2025/133311,Karnataka,DHARWAD,Pralhad Venkatesh Joshi,Normal/Others,250000.0,Sanction,Early-Warning,False,0.0,Low,3,False,False,,,,,44.0,False,False,False,False
WS/MP620/2024-2025/133312,Karnataka,DHARWAD,Pralhad Venkatesh Joshi,Normal/Others,498091.0,Physical Inspection,Audit,True,0.0,Low,4,False,False,,,,100.0,16.0,False,False,False,False
WS/MP418/2024-2025/133409,Bihar,ARARIA,Pradeep Kumar Singh,Normal/Others,448127.0,Physical Inspection,Audit,True,0.0,Low,4,False,False,,,,100.0,2.0,False,False,False,False
