state,total_works,works_with_sanction_data,total_sanctioned_amount,high_critical_count,high_critical_rate_pct,avg_risk_score,small_sample_warning
Chandigarh,3,0,,2,66.67,38.6684252039774,True
Uttarakhand,65,3,4996274.0,9,13.85,32.34755779152381,False
Punjab,480,306,84678665.0,39,8.12,14.757683870062701,False
Puducherry,13,9,18624900.0,1,7.69,17.93084914059572,True
Haryana,159,54,42857874.0,11,6.92,19.106950524465965,False
Nagaland,34,23,49000000.0,2,5.88,9.737442469132423,False
Rajasthan,488,368,204597364.1,20,4.1,9.464658459762529,False
Jammu And Kashmir,108,62,11963246.0,3,2.78,12.552056320024159,False
Odisha,264,115,55686256.0,7,2.65,15.425216752808488,False
Arunachal Pradesh,48,45,46995613.0,1,2.08,3.727792001241321,False
Himachal Pradesh,163,67,23123920.0,3,1.84,16.779946281613316,False
Assam,240,161,100131696.0,4,1.67,12.049319810820315,False
Karnataka,304,111,64144789.0,3,0.99,17.42635298425125,False
Andhra Pradesh,384,257,145212932.0,3,0.78,9.975859948484521,False
Madhya Pradesh,1026,776,302247481.0,7,0.68,6.523860386286488,False
Tamil Nadu,528,409,448380080.0,2,0.38,8.978358545319605,False
Bihar,554,414,395917219.0,2,0.36,7.335798861273339,False
Uttar Pradesh,3751,2732,1077932081.56,12,0.32,8.255520885802877,False
Kerala,357,256,159802712.34,1,0.28,10.566698833638625,False
Telangana,407,328,98679030.0,1,0.25,5.7540501719241455,False
Chhattisgarh,449,359,218193397.0,1,0.22,5.005756416661138,False
Gujarat,507,262,99024428.0,1,0.2,13.19331639635177,False
West Bengal,1036,916,614989098.0,2,0.19,4.118411316344327,False
Maharashtra,541,224,251336121.0,1,0.18,13.713059296144039,False
Andaman And Nicobar Islands,4,0,,0,0.0,41.564354707319914,True
Lakshadweep,3,0,,0,0.0,28.54390524587197,True
Jharkhand,689,610,137252562.0,0,0.0,2.539816279193675,False
Delhi,17,8,6331847.0,0,0.0,15.605269222782795,True
Goa,4,3,2760000.0,0,0.0,14.746093719694322,True
Meghalaya,14,1,1000000.0,0,0.0,24.402141185424092,True
Mizoram,103,101,44997115.0,0,0.0,0.6775544329941169,False
Sikkim,21,20,46078159.0,0,0.0,1.2057617957769244,False
Tripura,9,0,,0,0.0,37.749287749287745,True
